"SRRP","SA","31083719000019","4671Z","Zone Industrielle N1 Zi No1","97420","Le Port","Réunion","France","02.62.42.77.78",,,,,,,
"MAIRIE DE STE MARIE","ETAT","21974018000019","8411Z","Rue de la République","97438","Sainte Marie","Réunion","France","02 62 53 19 30","02 62 53 19 31",,,,,,
